Drugs,Genes,Pathways
['NaN'],MAPK11,"['MAPK signaling pathway', 'Rap1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Prolactin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],MAPK12,"['MAPK signaling pathway', 'Rap1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Prolactin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['Dasatinib'],MAPK14,"['MAPK signaling pathway', 'Rap1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Prolactin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['Ulixertinib'],MAPK3,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],MAPK7,"['MAPK signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],MAPK8,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'cAMP signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Wnt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Prolactin signaling pathway', 'Adipocytokine signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],MAPK8IP1,['MAPK signaling pathway']
['NaN'],MAPK8IP3,['MAPK signaling pathway']
['NaN'],MAPK9,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'cAMP signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Wnt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Prolactin signaling pathway', 'Adipocytokine signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],MAPKAP1,['mTOR signaling pathway']
['Staurosporine'],MAPKAPK2,"['MAPK signaling pathway', 'VEGF signaling pathway', 'C-type lectin receptor signaling pathway', 'Neurotrophin signaling pathway']"
['NaN'],MAPKAPK3,"['MAPK signaling pathway', 'VEGF signaling pathway']"
['NaN'],MAPKAPK5,['MAPK signaling pathway']
['NaN'],MAVS,"['NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],MAX,['MAPK signaling pathway']
['NaN'],MCL1,"['PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],MCM2,['Cell cycle']
['NaN'],MCM3,['Cell cycle']
['NaN'],MCM4,['Cell cycle']
['NaN'],MCM5,['Cell cycle']
['NaN'],MCM6,['Cell cycle']
['NaN'],MCM7,['Cell cycle']
['NaN'],MDM2,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'C-type lectin receptor signaling pathway', 'Thyroid hormone signaling pathway', 'Cell cycle']"
['NaN'],MDM4,['p53 signaling pathway']
['NaN'],MED1,['Thyroid hormone signaling pathway']
['NaN'],MED13,['Thyroid hormone signaling pathway']
['NaN'],MED13L,['Thyroid hormone signaling pathway']
['NaN'],MED16,['Thyroid hormone signaling pathway']
['NaN'],MED17,['Thyroid hormone signaling pathway']
['NaN'],MED24,['Thyroid hormone signaling pathway']
['NaN'],MED27,['Thyroid hormone signaling pathway']
['NaN'],MED30,['Thyroid hormone signaling pathway']
['NaN'],MED4,['Thyroid hormone signaling pathway']
['NaN'],MEF2A,"['cGMP-PKG signaling pathway', 'Apelin signaling pathway']"
['NaN'],MEF2D,"['cGMP-PKG signaling pathway', 'Apelin signaling pathway']"
['Crizotinib'],MET,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],MFN1,['NOD-like receptor signaling pathway']
['NaN'],MFN2,['NOD-like receptor signaling pathway']
['NaN'],MIOS,['mTOR signaling pathway']
['NaN'],MKNK1,"['MAPK signaling pathway', 'HIF-1 signaling pathway', 'Insulin signaling pathway']"
['NaN'],MKNK2,"['MAPK signaling pathway', 'HIF-1 signaling pathway', 'Insulin signaling pathway']"
['NaN'],MLKL,['TNF signaling pathway']
['NaN'],MLST8,"['mTOR signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],MMP14,['GnRH signaling pathway']
['NaN'],MOB1A,['Hippo signaling pathway']
['NaN'],MOB1B,['Hippo signaling pathway']
['NaN'],MPP5,['Hippo signaling pathway']
['NaN'],MTOR,"['ErbB signaling pathway', 'HIF-1 signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Apelin signaling pathway', 'JAK-STAT signaling pathway', 'Insulin signaling pathway', 'Thyroid hormone signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],MYC,"['MAPK signaling pathway', 'ErbB signaling pathway', 'PI3K-Akt signaling pathway', 'Wnt signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway', 'JAK-STAT signaling pathway', 'Thyroid hormone signaling pathway', 'Cell cycle']"
['NaN'],MYD88,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway']"
['NaN'],MYL6,['Oxytocin signaling pathway']
['NaN'],MYL6B,['Oxytocin signaling pathway']
['Daporinad'],NAMPT,['NOD-like receptor signaling pathway']
['NaN'],NCK1,"['ErbB signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],NCK2,"['ErbB signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],NCOA1,"['Estrogen signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],NCOA2,"['Estrogen signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],NCOA3,"['Estrogen signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],NCOR1,['Thyroid hormone signaling pathway']
['NaN'],NCOR2,['Notch signaling pathway']
['NaN'],NCSTN,['Notch signaling pathway']
['NaN'],NEK7,['NOD-like receptor signaling pathway']
['NaN'],NF1,"['MAPK signaling pathway', 'Ras signaling pathway']"
['NaN'],NF2,['Hippo signaling pathway']
['NaN'],NFATC3,"['MAPK signaling pathway', 'cGMP-PKG signaling pathway', 'Wnt signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],NFKB1,"['MAPK signaling pathway', 'Ras signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'NF-kappa B signaling pathway', 'HIF-1 signaling pathway', 'Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Prolactin signaling pathway', 'Adipocytokine signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],NFKB2,"['MAPK signaling pathway', 'NF-kappa B signaling pathway', 'C-type lectin receptor signaling pathway']"
['NaN'],NFKBIA,"['cAMP signaling pathway', 'Chemokine signaling pathway', 'NF-kappa B signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'IL-17 signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Adipocytokine signaling pathway', 'Relaxin signaling pathway']"
['NaN'],NFKBIB,"['Chemokine signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Neurotrophin signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],NFKBIE,"['T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Neurotrophin signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],NLK,"['MAPK signaling pathway', 'FoxO signaling pathway', 'Wnt signaling pathway']"
['NaN'],NLRX1,"['NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],NOD1,['NOD-like receptor signaling pathway']
['NaN'],NOTCH1,"['Notch signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],NOTCH2,"['Notch signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],NPRL2,['mTOR signaling pathway']
['NaN'],NPRL3,['mTOR signaling pathway']
['NaN'],NR4A1,"['MAPK signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],NRAS,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],NRF1,['Apelin signaling pathway']
['NaN'],NSMAF,['Sphingolipid signaling pathway']
['NaN'],NUMB,['Notch signaling pathway']
['NaN'],NUMBL,['Notch signaling pathway']
['NaN'],ORAI1,"['Calcium signaling pathway', 'cAMP signaling pathway']"
['NaN'],ORAI2,['Calcium signaling pathway']
['NaN'],ORAI3,['Calcium signaling pathway']
['NaN'],ORC1,['Cell cycle']
['NaN'],ORC2,['Cell cycle']
['NaN'],ORC3,['Cell cycle']
['NaN'],ORC4,['Cell cycle']
['NaN'],ORC5,['Cell cycle']
['NaN'],ORC6,['Cell cycle']
['NaN'],P2RX4,['Calcium signaling pathway']
['NaN'],PAK1,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],PAK2,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],PAK4,"['ErbB signaling pathway', 'Ras signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],PARD3,"['Rap1 signaling pathway', 'Chemokine signaling pathway', 'Hippo signaling pathway']"
['NaN'],PARD6A,"['Rap1 signaling pathway', 'Hippo signaling pathway']"
['NaN'],PARD6B,"['Rap1 signaling pathway', 'Hippo signaling pathway']"
['NaN'],PATJ,['Hippo signaling pathway']
['NaN'],PCK2,"['FoxO signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PCNA,['Cell cycle']
['NaN'],PDHB,['HIF-1 signaling pathway']
['NaN'],PDK1,['HIF-1 signaling pathway']
['Staurosporine'],PDPK1,"['FoxO signaling pathway', 'Sphingolipid signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],PERP,['p53 signaling pathway']
['NaN'],PFKFB2,"['AMPK signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],PFKFB3,"['HIF-1 signaling pathway', 'AMPK signaling pathway']"
['NaN'],PFKFB4,['AMPK signaling pathway']
['NaN'],PFKL,"['HIF-1 signaling pathway', 'AMPK signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PFKM,['AMPK signaling pathway']
['NaN'],PFKP,"['AMPK signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],PFN1,['Rap1 signaling pathway']
['NaN'],PFN2,['Rap1 signaling pathway']
['NaN'],PGAM5,['TNF signaling pathway']
['NaN'],PHKB,"['Calcium signaling pathway', 'Insulin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PHKG2,"['Calcium signaling pathway', 'Insulin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PHLPP1,['PI3K-Akt signaling pathway']
['NaN'],PHLPP2,['PI3K-Akt signaling pathway']
['NaN'],PIAS1,['JAK-STAT signaling pathway']
['NaN'],PIAS2,['JAK-STAT signaling pathway']
['NaN'],PIAS3,['JAK-STAT signaling pathway']
['NaN'],PIAS4,['JAK-STAT signaling pathway']
['NaN'],PIDD1,['p53 signaling pathway']
['NaN'],PIK3C3,['Apelin signaling pathway']
['NaN'],PIK3CA,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIK3CB,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIK3CD,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIK3R1,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIK3R3,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIK3R4,['Apelin signaling pathway']
['Staurosporine'],PIM1,"['JAK-STAT signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PIN1,['RIG-I-like receptor signaling pathway']
['NaN'],PIP5K1A,['Phospholipase D signaling pathway']
['NaN'],PIP5K1C,['Phospholipase D signaling pathway']
['NaN'],PKM,['Glucagon signaling pathway']
['NaN'],PKMYT1,['Cell cycle']
['NaN'],PKN1,['PI3K-Akt signaling pathway']
['NaN'],PKN2,['PI3K-Akt signaling pathway']
['NaN'],PKN3,['PI3K-Akt signaling pathway']
['NaN'],PLA2G12A,['Ras signaling pathway']
['NaN'],PLA2G16,['Ras signaling pathway']
['NaN'],PLA2G6,['Ras signaling pathway']
['NaN'],PLCB3,"['Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Chemokine signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'Wnt signaling pathway', 'Apelin signaling pathway', 'NOD-like receptor signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PLCD3,"['Calcium signaling pathway', 'Thyroid hormone signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PLCG1,"['ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'NF-kappa B signaling pathway', 'HIF-1 signaling pathway', 'Phospholipase D signaling pathway', 'VEGF signaling pathway', 'T cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'Neurotrophin signaling pathway', 'Thyroid hormone signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],PLD2,"['Ras signaling pathway', 'cAMP signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'GnRH signaling pathway']"
['NaN'],PLK1,"['FoxO signaling pathway', 'Cell cycle']"
['NaN'],PLK2,['FoxO signaling pathway']
['NaN'],PLK3,"['FoxO signaling pathway', 'C-type lectin receptor signaling pathway']"
['NaN'],PLK4,['FoxO signaling pathway']
['NaN'],PMAIP1,['p53 signaling pathway']
['NaN'],PPARA,"['cAMP signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PPARD,['Wnt signaling pathway']
['NaN'],PPIF,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway']"
['NaN'],PPM1A,['MAPK signaling pathway']
['NaN'],PPM1B,['MAPK signaling pathway']
['NaN'],PPM1D,['p53 signaling pathway']
['NaN'],PPP1CA,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Hippo signaling pathway', 'Insulin signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],PPP1CB,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Hippo signaling pathway', 'Insulin signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],PPP1CC,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Hippo signaling pathway', 'Insulin signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],PPP1R12A,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],PPP1R12B,['Oxytocin signaling pathway']
['NaN'],PPP1R12C,['Oxytocin signaling pathway']
['NaN'],PPP1R3B,['Insulin signaling pathway']
['NaN'],PPP1R3D,['Insulin signaling pathway']
['NaN'],PPP1R3E,['Insulin signaling pathway']
['NaN'],PPP2CA,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2CB,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2R1A,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2R1B,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2R2A,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2R2D,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway', 'Hippo signaling pathway']"
['NaN'],PPP2R3A,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R3C,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R5A,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R5B,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R5C,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R5D,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP2R5E,"['Sphingolipid signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],PPP3CA,"['MAPK signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Wnt signaling pathway', 'VEGF signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PPP3CB,"['MAPK signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Wnt signaling pathway', 'VEGF signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PPP3CC,"['MAPK signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Wnt signaling pathway', 'VEGF signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PPP3R1,"['MAPK signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Wnt signaling pathway', 'VEGF signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PPP4C,['Glucagon signaling pathway']
['NaN'],PPP4R3A,['Glucagon signaling pathway']
['NaN'],PPP4R3B,['Glucagon signaling pathway']
['NaN'],PPP5C,['MAPK signaling pathway']
['NaN'],PRDM4,['Neurotrophin signaling pathway']
['NaN'],PRKAA1,"['FoxO signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Apelin signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PRKAB1,"['FoxO signaling pathway', 'AMPK signaling pathway', 'Apelin signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PRKAB2,"['FoxO signaling pathway', 'AMPK signaling pathway', 'Apelin signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],PRKACA,"['MAPK signaling pathway', 'Ras signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Wnt signaling pathway', 'Hedgehog signaling pathway', 'Apelin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],PRKACB,"['MAPK signaling pathway', 'Ras signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'Wnt signaling pathway', 'Hedgehog signaling pathway', 'Apelin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
